page_number,sentence_chunk,chunk_char_count,chunk_word_count,chunk_token_count,embedding
1,"Food and Nutrition Handbook for Extension WorkersiMINISTRY OF AGRICULTURE, ANIMAL INDUSTRY AND FISHERIES FOOD AND NUTRITION HANDBOOK FOR EXTENSION WORKERS OCTOBER 2015 FANT AIII FOOD AND NUTRITION TECHNICAL ASSISTANCE",217,29,54.25,"[-0.015044472180306911, 0.009399753995239735, 0.016700200736522675, 0.010689379647374153, 0.010818672366440296, 0.037670932710170746, -0.03354548290371895, 0.039791982620954514, -0.1442200094461441, -0.056418828666210175, 0.058683909475803375, -0.06181684508919716, -0.11177079379558563, 0.006698740646243095, 0.020072538405656815, -0.019739516079425812, 0.09852364659309387, 0.022077171131968498, -0.01575237326323986, -0.1586296558380127, 0.00265905330888927, -0.010531132109463215, -0.022390354424715042, -0.005236481782048941, -0.01360084768384695, -0.0411873385310173, -0.025784296914935112, -0.022492514923214912, -0.06040956825017929, 0.011823018081486225, -0.06706396490335464, -0.01937885209918022, 0.08839467912912369, 0.025350037962198257, 0.002273990772664547, 0.05376755818724632, 0.10456134378910065, -0.05312884971499443, 0.011516643688082695, 0.05552791431546211, 0.028600269928574562, -0.024325108155608177, 0.031281135976314545, -0.0419984795153141, -0.05699051544070244, -0.02908097580075264, -0.062273308634757996, -0.034502290189266205, -0.02668161503970623, 0.01010638102889061, -0.03873009234666824, -0.024483276531100273, 0.01723475567996502, -0.006711803376674652, 0.0740928053855896, -0.035072874277830124, -0.0822208896279335, -0.062142226845026016, -0.06269611418247223, 0.04755324497818947, 0.058934297412633896, 0.008402181789278984, -0.0402100570499897, -0.030017949640750885, -0.046890538185834885, -0.04380844905972481, -0.07488436996936798, 0.033112261444330215, -0.07148553431034088, -0.12078308314085007, -0.007557700388133526, -0.0552658811211586, -0.07558094710111618, 0.01298505812883377, 0.017701830714941025, 0.03821244463324547, 0.012969506904482841, -0.035282645374536514, 0.10765743255615234, -0.06273356825113297, -0.05839783698320389, -0.06701965630054474, 0.05117771029472351, 0.09230880439281464, -0.024538695812225342, 0.012560066767036915, -0.07222238183021545, 0.03747843578457832, 0.018935764208436012, 0.048584893345832825, 0.09408114105463028, -0.06857312470674515, 0.002305554924532771, 0.016931943595409393, 0.021666189655661583, -0.046296730637550354, -0.06010928750038147, -0.07384316623210907, -0.05047021806240082, -0.011495672166347504, -0.03982514515519142, -0.04604923725128174, -0.004367318004369736, -0.05212705582380295, -0.036936428397893906, -0.004585800226777792, -0.06637415289878845, 0.016151096671819687, 0.06852760165929794, 0.038523707538843155, -0.04892903193831444, 0.11130820959806442, -0.06639982759952545, -0.004803316667675972, -0.010267597623169422, 0.08504363894462585, -0.06382648646831512, -0.09064981341362, -0.017634904012084007, -0.03437116742134094, -0.004766284953802824, 0.03691640868782997, 0.04088751971721649, 0.008173045702278614, 0.011238465085625648, -0.027748769149184227, 0.01815463788807392, 1.1783414348741776e-33, -0.09196871519088745, -0.015798231586813927, 0.008772441186010838, 0.06816862523555756, 0.06288736313581467, -0.019440000876784325, -0.040743857622146606, -0.055091921240091324, 0.04464922845363617, -0.04061469808220863, -0.06566330045461655, 0.03859430551528931, 0.021110521629452705, 0.011638404801487923, -0.018821286037564278, -0.01443238090723753, 0.052807148545980453, 0.05852007120847702, 0.04614774510264397, 0.08510047197341919, 0.01995728351175785, -0.040474824607372284, 0.018313726410269737, 0.036278948187828064, 0.02458849549293518, -0.01759314350783825, -0.037032291293144226, -0.04633359611034393, -0.01085949968546629, 0.04492189362645149, -0.0037728562019765377, -0.09268497675657272, 0.012576624751091003, -0.11481785774230957, -0.04518009349703789, -0.015555156394839287, 0.04051418602466583, -0.07311449199914932, -0.03868602588772774, -0.014364900067448616, 0.07110226154327393, -0.005604706238955259, 0.1512596607208252, 0.046523068100214005, -0.03512829914689064, -0.02022051066160202, 0.06109338626265526, 0.0664188489317894, 0.09954701364040375, 0.06608357280492783, -0.0008395189652219415, -0.017824670299887657, 0.09384065866470337, -0.05632356181740761, 0.019593777135014534, 0.015058774501085281, 0.008187058381736279, 0.037803586572408676, -0.03561723604798317, -0.03324945271015167, -0.055716969072818756, 0.005177835933864117, -0.025621086359024048, 0.035126227885484695, 0.04464782401919365, -0.046600233763456345, -0.10335390269756317, -0.027085881680250168, 0.06528821587562561, 0.06366672366857529, 0.02292587421834469, -0.044476013630628586, 0.03583801910281181, 0.005596762988716364, -0.0277873482555151, -0.026774588972330093, -0.02848849631845951, 0.06629914790391922, 0.029822299256920815, 0.019798845052719116, 0.04017974063754082, 0.053286436945199966, 0.06386808305978775, 0.03752651438117027, -0.007231850642710924, 0.09166184067726135, -0.0523579940199852, 0.018064990639686584, 0.16717107594013214, 0.017688320949673653, -0.007477792911231518, -0.001390261691994965, -0.011892607435584068, 0.03259611874818802, -0.00644626235589385, -2.2059732900424066e-33, -0.02568187192082405, -0.003537240205332637, -0.057041704654693604, -0.010888783261179924, 0.10104329884052277, -0.023722879588603973, 0.055279962718486786, 0.019266562536358833, 0.09871526062488556, -0.0892605409026146, -0.015718476846814156, -0.017809012904763222, 0.029433773830533028, -0.02977183647453785, -0.07316464930772781, 0.0652209222316742, -0.07590679824352264, -0.0013225356815382838, 0.0003430458309594542, -0.08481744676828384, -0.06894081085920334, -0.059109196066856384, 0.07863955944776535, 0.043762270361185074, 0.07529347389936447, 0.10629379749298096, -0.03223723918199539, 0.07895053178071976, -0.02752545475959778, -0.12338371574878693, 0.05857847258448601, -0.038220860064029694, 0.007825964130461216, -0.053868621587753296, 0.052446965128183365, 0.001353572471998632, -0.033308275043964386, 0.03435174748301506, 0.02186439372599125, 0.04613109678030014, 0.07723000645637512, -0.006254503969103098, 0.009271682240068913, 0.03898805379867554, -0.04983917623758316, 0.003400854067876935, 0.08141003549098969, -0.10692359507083893, -0.05372023209929466, 0.028992220759391785, 0.04526659473776817, -0.019884193316102028, 0.05647371709346771, -0.016773970797657967, 0.05219283327460289, 0.011107100173830986, -0.006758462637662888, -0.0016966710099950433, -0.03181592375040054, -0.07801094651222229, 0.02962113544344902, 0.025018546730279922, 0.08106385171413422, 0.06294965744018555, 0.02632734179496765, -0.04111146926879883, 0.025941895321011543, -0.0749146118760109, -0.031435277312994, -0.015040487982332706, -0.03257041424512863, -0.004548321012407541, 0.04190252348780632, 0.019955258816480637, -0.04340500384569168, -0.0019714587833732367, 0.03022761642932892, -0.053398434072732925, -0.004086825530976057, -0.027810582891106606, -0.09329185634851456, -0.10639629513025284, 0.01262140367180109, 0.0012754920171573758, 0.060744039714336395, 0.020495522767305374, -0.006763034034520388, 0.09531356394290924, 0.059322841465473175, 0.05666756257414818, -0.09180859476327896, -0.039420101791620255, 0.003079778514802456, 0.039758820086717606, 0.06437989324331284, -2.6041821143962807e-08, 0.055610932409763336, -0.01146714761853218, -0.09089567512273788, 0.05169103667140007, 0.02978849597275257, -0.03047790750861168, -0.011250827461481094, -0.020873287692666054, 0.02677893452346325, 0.05140938237309456, -0.05159556120634079, 0.05826982110738754, 0.035085827112197876, 0.005928956437855959, 0.05460823327302933, -0.02424277365207672, 0.0741475373506546, 0.006221494637429714, -0.05620700493454933, 0.006520284339785576, -0.03739090636372566, 0.03314908966422081, -0.01688271388411522, -0.056915126740932465, -0.04523249343037605, 0.0043664369732141495, -0.09606825560331345, 0.04988706111907959, 0.09106646478176117, 0.04037119820713997, -0.013535575941205025, 0.07949326187372208, -0.024643752723932266, -0.04032815247774124, 0.06492553651332855, 0.04756155237555504, 0.016965597867965698, -0.022134389728307724, -0.05450998991727829, 0.030485006049275398, -0.021579481661319733, -0.02000744454562664, -0.02976238913834095, 0.051791008561849594, -0.009049964137375355, -0.010141871869564056, -0.03653385490179062, 0.09624642133712769, 0.008398760110139847, -0.005625113844871521, -0.00882139801979065, 0.03190024942159653, 0.049320537596940994, 0.0015516550047323108, -0.07992395013570786, 0.06356235593557358, 0.00931844487786293, -0.0074202027171850204, -0.0016115829348564148, 0.0009074826375581324, -0.05896511301398277, -0.044798098504543304, -0.014834760688245296, 0.0458797924220562]"
2,"Food and Nutrition Handbook for Extension Workersii Foreword The overall objective of the National Agriculture Policy is to achieve food and nutrition security and improve household income. Food and nutrition security encompasses issues of food availability, access and utilization for maximum health benefits and social economic develop - ment. This can be achieved through enhanced agricultural productivity, proper farm management, agro-processing, marketing, community awareness, enhanced community and household capacity to withstand shocks and adapting appropriate practices that ensure better food utili - zation, for instance proper home care, personal hygiene, food prepara-tion and feeding practices. Improved food utilization can be achieved through a deliberate effort to integrate nutrition in all agriculture devel-opment programs. Ministry of Agriculture, Animal Industry and Fisheries (MAAIF) supports households and communities to increase access to and consumption of diversified foods from their own production or purchase throughout the year. In addition, the Ministry plays an important role in reducing post-harvest losses and addressing issues related to women’s workload within households. All this is aimed at improving nutrition among house - holds and communities and is in line with the Uganda Nutrition Action Plan (UNAP 2011–2016). However, malnutrition remains one of the main health and economic problems facing our country and has negative consequences on produc - tivity. The productivity lost when agriculture workers take time off to deal with malnutrition related illnesses or deaths in their families is enor - mous. For example, the loss caused by iron deficiency anaemia in adults alone is US$34 million worth of productivity (PROFILES, 2012). This handbook is designed to help extension workers and other service providers engaged in day-to-day delivery of agricultural extension and advisory services in communities to understand the link between agricul - ture, food, nutrition and health. General guidelines on proper selection of foods to achieve a balanced diet and issues of food safety have been handled. In addition, examples of recipes for preparation of a variety of",2217,322,554.25,"[-0.011196620762348175, 0.01939281076192856, 0.012810062617063522, 0.027319608256220818, -0.032259926199913025, 0.0010834691347554326, -0.0016472192946821451, -0.04085864871740341, -0.10702071338891983, -0.015509432181715965, 0.06326904892921448, -0.04474116116762161, -0.06837579607963562, -0.04241228848695755, 0.058148343116045, -0.07450371980667114, 0.09384920448064804, 0.006336912978440523, -0.06064518913626671, -0.04347663000226021, 0.0817655697464943, 0.036897335201501846, 0.010337523184716702, -0.002718727570027113, -0.021051904186606407, -0.05012097582221031, -0.029592903330922127, -0.08820027112960815, -0.03135794401168823, -0.04372849687933922, 0.0588872954249382, 0.0127821434289217, 0.09973511099815369, 0.019656557589769363, -0.03727579489350319, 0.10639109462499619, 0.0757991299033165, -0.0745091438293457, -0.001223282190039754, -0.05871420353651047, 0.023147568106651306, -0.1076456606388092, -0.006032596807926893, -0.10823427885770798, -0.03465413674712181, 0.01692011207342148, 0.011392446234822273, 0.02120332233607769, -0.016373617574572563, -0.0041790311224758625, -0.0385105237364769, -0.00672156410291791, 0.032729052007198334, 0.004177568946033716, 0.06762842833995819, -0.05776986852288246, -0.02752668224275112, -0.07909934967756271, -0.03258960694074631, 0.014814718626439571, 0.00099272676743567, 0.03251592442393303, -0.05938131734728813, -0.01680714078247547, 0.03574846312403679, -0.12465900182723999, 0.009614689275622368, 0.046078458428382874, -0.04616369307041168, -0.04417657107114792, 0.07862849533557892, -0.09158971160650253, 0.04040444269776344, 0.009582281112670898, 0.006237843073904514, 0.038739532232284546, 0.0488588772714138, -0.005193288903683424, 0.06220526993274689, -0.017582859843969345, -0.0013164064148440957, 0.03604820370674133, 0.08871715515851974, 0.048310667276382446, 0.030481848865747452, -0.044564682990312576, -0.08503035455942154, 0.009555980563163757, 0.048138514161109924, -0.040406424552202225, 0.026058876886963844, 0.005166223738342524, 0.04117245599627495, 0.05159378796815872, 0.0754498541355133, -0.04885926842689514, -0.023927023634314537, -0.13602589070796967, -0.022431522607803345, 0.06663360446691513, -0.04784946143627167, -0.043598566204309464, 0.020830687135457993, -0.020928604528307915, 0.02600792795419693, -0.02963751181960106, -0.009502546861767769, 0.06790529191493988, 0.03139463812112808, 0.10623794794082642, -0.010263562202453613, 0.04960225149989128, -0.05554460734128952, 0.00857581291347742, 0.010454870760440826, 0.011654036119580269, -0.03799593448638916, -0.07719827443361282, 0.010516857728362083, -0.005734188016504049, -0.05529354512691498, 0.01814446598291397, 0.023099835962057114, -0.0931701511144638, 0.05877774953842163, 0.028186317533254623, 0.05386132001876831, 1.8869316336017603e-33, -0.0748433768749237, -0.02930324338376522, -0.002239181660115719, -0.02672887220978737, 0.0033256681635975838, -0.013099315576255322, -0.05062473937869072, 0.03317750245332718, 0.08121830970048904, -0.04684429243206978, -0.0371885672211647, -0.011427018791437149, 0.0022856276482343674, 0.02543204464018345, 0.02927045151591301, -0.016062259674072266, 0.0633092001080513, 0.030640199780464172, 0.15804964303970337, 0.08705098181962967, -0.0054442123509943485, -0.09582958370447159, 0.0033262406941503286, 0.03692830726504326, 0.05500904843211174, 0.05152951180934906, 0.05809859558939934, -0.054767265915870667, -0.026384806260466576, 0.02645285427570343, 0.096084825694561, -0.06587587296962738, 0.016866188496351242, -0.1237180083990097, -0.0379224494099617, -0.03832947090268135, -0.004049061331897974, -0.008467675186693668, -0.08137338608503342, -0.00518399802967906, -0.0009720072848722339, -0.033317383378744125, 0.08898992836475372, -0.0002577590348664671, -0.004779134877026081, 0.10562847554683685, 0.058467794209718704, 0.03482712432742119, 0.003730719443410635, 0.09149786084890366, 0.027577180415391922, -0.008504178375005722, 0.00018540688324719667, -0.030965814366936684, -0.042520567774772644, -0.03812025114893913, -0.011721257120370865, 0.012127178721129894, 0.004731731489300728, -0.04073529317975044, -0.0708387941122055, -0.04674941301345825, 0.012869688682258129, 0.0042418017983436584, 0.0030851915944367647, -0.030987611040472984, -0.010116148740053177, -0.062190715223550797, 0.07359600067138672, 0.026981009170413017, -0.04165181145071983, -0.03571641817688942, 0.003976347856223583, 0.039068032056093216, -0.0051300195045769215, -0.010273108258843422, 0.024942053481936455, 0.010904916562139988, 0.00782063603401184, 0.04385578632354736, 0.017299046739935875, 0.05001895874738693, 0.020516958087682724, 0.02155102789402008, -0.04123740643262863, 0.09065158665180206, -0.04812963306903839, 0.05768650770187378, 0.06910847872495651, -0.076919324696064, 0.0066702705807983875, 0.012782334350049496, 0.02078608237206936, 0.03919554874300957, 0.0030650023836642504, -2.308174625993735e-33, -0.010590672492980957, 0.010517871007323265, -0.06366308033466339, 0.032111767679452896, 0.04013653099536896, -0.013211293146014214, 0.011136473156511784, -0.008386136963963509, 0.032902512699365616, -0.04965684562921524, -0.05331648513674736, -0.06378848105669022, 0.11737607419490814, 0.025007832795381546, -0.07270132005214691, 0.08891438692808151, -0.06187010556459427, 0.008549336344003677, 0.027759861201047897, 0.0007414044812321663, -0.05139267072081566, 0.07280018925666809, 0.039910852909088135, 0.00881914235651493, -0.003490244736894965, 0.07207159698009491, -0.02882419154047966, 0.039151955395936966, -0.027591831982135773, -0.09470042586326599, 0.05673466995358467, -0.08046043664216995, -0.028479795902967453, -0.06004492938518524, -0.007283005863428116, 0.003980554640293121, -0.02861742675304413, -0.02739713154733181, -0.05329166352748871, 0.06482766568660736, 0.1324295848608017, 0.042755238711833954, -0.027162333950400352, 0.011639546602964401, -0.07974421977996826, 0.01767873950302601, 0.09238763153553009, -0.07146991789340973, -0.016843663528561592, -0.014876123517751694, 0.07852844148874283, 0.012538427487015724, 0.017020851373672485, -0.052269741892814636, 0.051071710884571075, 0.019785547628998756, 0.051670487970113754, 0.017310766503214836, -0.08020108938217163, -0.03306068852543831, -0.02446555159986019, 0.02756064385175705, 0.029496390372514725, 0.06829314678907394, 0.04231995716691017, -0.0256926491856575, 0.05737261101603508, -0.09081823378801346, 0.025729432702064514, 0.036716535687446594, -0.051731642335653305, -0.09184253960847855, 0.06315479427576065, -0.0013914823066443205, -0.0626300796866417, 0.03416227549314499, 0.03222151845693588, -0.05641038715839386, -0.0020512831397354603, -0.023412587121129036, -0.03827964887022972, -0.1426195502281189, 0.026535799726843834, -0.02587425336241722, -0.0030114680994302034, 0.018488507717847824, 0.016193127259612083, 0.003497123485431075, 0.011920030228793621, 0.1467399299144745, -0.12031334638595581, -0.031344179064035416, 0.0207877978682518, 0.037252865731716156, 0.10040885955095291, -4.656794416746379e-08, 0.1532362401485443, -0.020278461277484894, -0.043471384793519974, 0.061991896480321884, 0.056119974702596664, -0.051857367157936096, -0.0834217369556427, -0.043124012649059296, 0.05048961937427521, 0.07245037704706192, -0.043414000421762466, 0.11176808178424835, -0.051908694207668304, -0.017852667719125748, -0.0027005854062736034, 0.0057495031505823135, 0.05078566074371338, 0.042040809988975525, -0.061354584991931915, -0.0327245257794857, -0.03127051144838333, -0.012651789002120495, -0.04157831519842148, -0.06896602362394333, 0.033409539610147476, -0.03208993375301361, -0.019958240911364555, 0.05706547200679779, 0.09063100814819336, -0.00732815358787775, -0.04796971008181572, 0.03079589270055294, -0.005533189978450537, -0.014038261957466602, 0.003351746127009392, -0.0023160402197390795, -0.037330906838178635, -0.048922475427389145, 0.025172770023345947, 0.008628851734101772, -0.017955893650650978, 0.026392577216029167, 0.04592961072921753, 0.010364486835896969, -0.1065029576420784, 0.029937196522951126, -0.010068354196846485, 0.03520075976848602, -0.01401099655777216, -0.02680947259068489, -0.06458936631679535, 0.015941493213176727, 0.0487055629491806, 0.029057390987873077, -0.04951661825180054, 0.05541319400072098, -0.037057772278785706, -0.03909478709101677, 0.0602705180644989, 0.031122537329792976, 0.005333062261343002, -0.054131507873535156, -0.10165687650442123, -0.03187575936317444]"
2,"General guidelines on proper selection of foods to achieve a balanced diet and issues of food safety have been handled. In addition, examples of recipes for preparation of a variety of",184,31,46.0,"[-0.008261208422482014, -0.035523541271686554, 0.03309208154678345, 0.04158025234937668, -0.056606024503707886, 0.037873752415180206, -0.0540328323841095, 0.023892760276794434, -0.07395333051681519, -0.0060731517150998116, 0.04628019779920578, -0.052559349685907364, -0.03498436138033867, -0.11784694343805313, 0.012320421636104584, -0.08885450661182404, 0.14681340754032135, 0.03070368617773056, -0.05575050041079521, -0.01361909881234169, 0.045581210404634476, 0.0013257685350254178, 0.04402320459485054, 0.007418876048177481, -0.11610062420368195, -0.05907607451081276, 0.08646848052740097, -0.022968722507357597, -0.042161453515291214, -0.03481515496969223, 0.002548982622101903, -0.015793444588780403, 0.08705947548151016, -0.06402017176151276, -0.08842098712921143, -0.0019739994313567877, 0.04942884296178818, -0.11391960829496384, 0.0038586645387113094, -0.0012169762048870325, -0.03754549100995064, -0.012306349352002144, -0.03637373074889183, -0.009948748163878918, -0.046873174607753754, 0.009147021919488907, -0.07706980407238007, -0.037585385143756866, 0.006726250518113375, 0.00170899520162493, -0.06801526248455048, 0.007118320558220148, -0.04302908480167389, -0.012446405366063118, 0.03079756535589695, -0.0719476193189621, -0.038317084312438965, -0.03514738008379936, -0.031542468816041946, 0.05732230097055435, 0.008533751592040062, -0.03808451071381569, -0.06535259634256363, -0.04617885872721672, 0.013152611441910267, -0.0317593514919281, -0.04162927344441414, 0.002480171388015151, -0.021342774853110313, 0.034134641289711, -0.01891942508518696, 0.018955174833536148, 0.0068960245698690414, 0.05281524732708931, -0.026242781430482864, 0.061146147549152374, 0.061891332268714905, -0.08640281111001968, -0.05080142617225647, 0.0032908206339925528, -0.07338225096464157, 0.04397867992520332, 0.05110333114862442, 0.06889154016971588, 0.04129698872566223, -0.01052600983530283, -0.10436999797821045, 0.022945744916796684, 0.059945445507764816, 0.07794099301099777, 0.07483982294797897, -0.019890479743480682, 0.09101443737745285, 0.019330857321619987, 0.01884341984987259, 0.04396795853972435, -0.051326725631952286, -0.12209843844175339, 0.03997218981385231, -0.05473615601658821, -0.002791954902932048, -0.04483230412006378, 0.04980543255805969, 0.0029502329416573048, 0.01920356974005699, -0.05098745599389076, -0.00904509425163269, -0.03779391199350357, 0.007445233408361673, 0.0332338847219944, 0.020014790818095207, 0.0885942280292511, -0.04466014727950096, -0.0257008895277977, -0.07244118303060532, 0.018555773422122, 0.0025796503759920597, -0.07125093787908554, -0.026796795427799225, 0.05211888998746872, -0.047193799167871475, 0.029391061514616013, 0.09424251317977905, -0.018505515530705452, 0.012550083920359612, 0.008734539151191711, 0.05953245609998703, -8.079599708258717e-34, -0.07462745159864426, -0.026700535789132118, 0.04988755285739899, 0.03670987859368324, 0.011923223733901978, -0.020297499373555183, -0.07089992612600327, -0.045838892459869385, 0.07707373052835464, 0.045193493366241455, 0.055341459810733795, -0.07095684856176376, -0.009904232807457447, 0.03899310901761055, 0.0007795821875333786, -0.02170688658952713, -0.007088706362992525, 0.0758582279086113, 0.021309787407517433, 0.02210446633398533, -0.031150363385677338, -0.10238183289766312, 0.03916862979531288, 0.008599481545388699, -0.046201642602682114, 0.017368558794260025, -0.026090677827596664, -0.0059865666553378105, -0.023247109726071358, -0.010043480433523655, -0.030352942645549774, -0.05122975632548332, 0.0010799478041008115, -0.0681781992316246, -0.029876399785280228, 0.07349656522274017, -0.09795696288347244, 0.043634988367557526, -0.025801075622439384, 0.06908682733774185, 0.017084721475839615, -0.002710367552936077, 0.08225622773170471, 0.05492448806762695, 0.0784539058804512, 0.036213502287864685, -0.06110798940062523, 0.06891252845525742, -0.03103240765631199, 0.026115069165825844, 0.02397298999130726, -0.0579628124833107, 0.04509247466921806, 0.03950490802526474, 0.017638634890317917, 0.02369690127670765, -0.021423829719424248, 0.02041158825159073, 0.010671257972717285, 0.017510730773210526, 0.017612911760807037, 0.09847935289144516, -0.060178227722644806, 0.009271479211747646, -0.05358603224158287, 0.03682827204465866, -0.05916234478354454, -0.09548196196556091, -0.03282378986477852, 0.004562600515782833, -0.02503737434744835, -0.04604491591453552, -3.777704478125088e-05, 0.0546640120446682, -0.05551009625196457, -0.03526052087545395, 0.01091222744435072, 0.06314677745103836, 0.03230208158493042, -0.003826674073934555, 0.03681214898824692, 0.10011987388134003, -0.014942585490643978, 0.030855465680360794, -0.07691942155361176, 0.07056723535060883, -0.06929418444633484, 0.01849525421857834, 0.09849127382040024, 0.06028765067458153, -0.023582758381962776, -0.03518516942858696, 0.021211130544543266, 0.04135751351714134, -0.04549919441342354, -5.46709106420503e-34, -0.02871105447411537, -0.015318818390369415, -0.04083720222115517, 0.07532019168138504, 0.048708681017160416, -0.03198850527405739, -0.03201223537325859, -0.09442469477653503, 0.04626648500561714, -0.1017533540725708, -0.034313179552555084, -0.014000160619616508, 0.01722446270287037, -0.054053787142038345, -0.0482952706515789, 0.11554569751024246, -0.004095762502402067, 0.07647451758384705, -0.0025218420196324587, -0.031141888350248337, -0.03847593069076538, -0.06269664317369461, -0.020405452698469162, 0.03232782706618309, -0.01382686197757721, 0.021307285875082016, 0.010124359279870987, 0.007879338227212429, -0.027066079899668694, -0.05964510515332222, 0.0375387966632843, -0.07032280415296555, 0.12165931612253189, 0.02240290679037571, 0.039468057453632355, 0.0017337242607027292, -0.016024718061089516, -0.002698778873309493, 0.02571077272295952, 0.12051854282617569, -0.0294436514377594, 0.1085706353187561, 0.018208155408501625, 0.07917401194572449, -0.05561646446585655, -0.0165715292096138, 0.03919045627117157, -0.11697731167078018, -0.008038016967475414, 0.007692679297178984, -0.01090891845524311, -0.05708345025777817, -0.05087589845061302, -0.020527087152004242, 0.04321574047207832, 0.04989369586110115, -0.009745249524712563, 0.014540732838213444, 0.07347338646650314, -0.003460850566625595, -0.047453198581933975, 0.060041092336177826, 0.02003352716565132, -0.021054713055491447, 0.05455734208226204, 0.007756305392831564, -0.011479966342449188, -0.05549931153655052, 0.013195105828344822, 0.023347584530711174, -0.07744069397449493, -0.04113367572426796, 0.08019759505987167, -0.0712241604924202, -0.0072380369529128075, -0.032699551433324814, 0.028152793645858765, -0.0258563831448555, -0.0233683492988348, 0.05211257562041283, -0.014733060263097286, -0.013643945567309856, -0.057526618242263794, 0.10358259081840515, -0.014697855338454247, 0.03915860876441002, -0.012587843462824821, -0.011445698328316212, 0.03429889678955078, 0.07657827436923981, -0.062263574451208115, -0.060626957565546036, 0.04897007718682289, 0.09245586395263672, 0.07766232639551163, -3.112383240022609e-08, 0.11959338933229446, -0.08475269377231598, -0.031021058559417725, 0.12266293168067932, 0.017244486138224602, 0.021859223023056984, -0.025280071422457695, -0.11980797350406647, -0.027418103069067, 0.07410042732954025, -0.08027392625808716, 0.10395385324954987, -0.018726302310824394, 0.017906222492456436, -0.032550543546676636, -0.08080055564641953, 0.08187232166528702, 0.0627201646566391, -0.06800989806652069, 0.04779229313135147, -0.004013484809547663, -0.020151464268565178, 0.006921346299350262, -0.043320830911397934, 0.0674714669585228, -0.011994070373475552, -0.022112028673291206, -0.004161033779382706, 0.04212389513850212, 0.025353102013468742, 0.013892811723053455, 0.047308873385190964, -0.0008447641157545149, 0.019573001191020012, 0.02859526127576828, -0.012490978464484215, -0.067970871925354, 0.05255734547972679, 0.028935948386788368, 0.04478520527482033, -0.02764015458524227, -0.015585548244416714, 0.04901297017931938, 0.043917037546634674, -0.07225112617015839, 0.035275399684906006, -0.04129670932888985, 0.07793498039245605, 0.017393803223967552, 0.09014910459518433, -0.044442083686590195, -0.02646811306476593, 0.095445916056633, 0.047335099428892136, -0.01918662339448929, 0.07254017144441605, 0.06734158843755722, -0.02160074934363365, 0.0376911461353302, -0.07099579274654388, -0.0004193538043182343, 0.054203666746616364, -0.029186664149165154, -0.02394789271056652]"
